transaction_id,amount,transaction_type,merchant_id,account_age_days,transaction_time,is_fraud
1,200.5,online,12345,365,15:32:01,0
2,150.75,instore,54321,45,10:15:45,0
3,3000.0,online,67890,1200,23:45:30,1
4,50.0,online,12345,10,09:05:10,0
5,400.0,instore,54321,365,18:22:00,0
6,5000.0,online,67890,500,22:35:50,1
7,25.0,instore,12345,30,12:30:15,0
8,800.0,online,54321,800,20:11:00,1
9,100.0,instore,67890,150,14:44:22,0
10,220.0,online,12345,400,17:08:34,0
11,12000.0,online,11111,20,08:00:00,1
12,500.0,instore,22222,80,16:00:00,0
13,1500.0,online,33333,600,21:00:00,1
14,75.0,online,44444,50,12:00:00,0
15,200.0,instore,55555,200,19:30:00,0
16,6000.0,online,66666,1000,23:00:00,1
17,30.0,instore,77777,5,13:00:00,0
18,1500.0,online,88888,400,22:15:00,1
19,300.0,instore,99999,150,11:30:00,0
20,500.0,online,10101,30,15:45:00,1
21,175.0,instore,33333,90,14:25:00,0
22,2200.0,online,44444,700,09:30:00,1
23,75.0,instore,55555,10,11:15:00,0
24,950.0,online,66666,300,20:55:00,1
25,350.0,instore,77777,120,16:30:00,0
26,1250.0,online,88888,450,21:45:00,1
27,45.0,instore,99999,20,10:10:00,0
28,3000.0,online,10101,500,19:05:00,1
29,500.0,instore,12345,365,13:40:00,0
30,700.0,online,54321,200,23:20:00,1
31,95.0,instore,67890,80,12:50:00,0
32,150.0,online,33333,100,15:00:00,0
33,1250.0,instore,44444,90,17:05:00,0
34,900.0,online,55555,600,20:30:00,1
35,60.0,instore,66666,70,11:25:00,0
36,800.0,online,77777,150,18:40:00,1
37,240.0,instore,88888,40,13:50:00,0
38,3200.0,online,99999,250,21:10:00,1
39,110.0,instore,10101,55,10:20:00,0
40,1500.0,online,12345,500,19:35:00,1
41,300.0,instore,22222,120,16:05:00,0
42,1200.0,online,33333,800,22:20:00,1
43,85.0,instore,44444,15,12:45:00,0
44,450.0,online,55555,250,09:10:00,1
45,60.0,instore,66666,300,17:25:00,0
46,2000.0,online,77777,450,19:55:00,1
47,55.0,instore,88888,10,14:30:00,0
48,1700.0,online,99999,650,21:40:00,1
49,110.0,instore,10101,90,16:20:00,0
50,600.0,online,12345,200,23:35:00,1
51,300.0,instore,54321,60,15:50:00,0
52,900.0,online,67890,300,10:10:00,1
53,65.0,instore,12345,40,12:55:00,0
54,1250.0,online,54321,500,18:20:00,1
55,50.0,instore,67890,30,11:40:00,0
56,800.0,online,11111,400,23:15:00,1
57,35.0,instore,22222,15,08:30:00,0
58,1500.0,online,33333,600,17:00:00,1
59,200.0,instore,44444,100,19:45:00,0
60,6000.0,online,55555,800,20:35:00,1
61,40.0,instore,66666,10,13:20:00,0
62,2200.0,online,77777,500,22:10:00,1
63,90.0,instore,88888,30,14:00:00,0
64,3000.0,online,99999,700,21:25:00,1
65,150.0,instore,10101,50,09:50:00,0
66,1200.0,online,12345,400,16:40:00,1
67,70.0,instore,54321,80,11:05:00,0
68,1750.0,online,67890,600,22:30:00,1
69,60.0,instore,12345,20,10:15:00,0
70,950.0,online,11111,300,15:25:00,1
71,25.0,instore,22222,10,16:45:00,0
72,1500.0,online,33333,500,19:10:00,1
73,85.0,instore,44444,40,12:20:00,0
74,700.0,online,55555,200,23:50:00,1
75,120.0,instore,66666,25,14:10:00,0
76,2500.0,online,77777,500,21:30:00,1
77,95.0,instore,88888,15,13:15:00,0
78,3500.0,online,99999,600,20:00:00,1
79,100.0,instore,10101,30,09:05:00,0
80,1800.0,online,12345,450,16:55:00,1
81,45.0,instore,54321,20,11:30:00,0
82,2200.0,online,67890,700,22:45:00,1
83,80.0,instore,12345,30,14:20:00,0
84,300.0,online,11111,200,19:55:00,1
85,50.0,instore,22222,40,16:30:00,0
86,1200.0,online,33333,600,23:05:00,1
87,65.0,instore,44444,25,13:15:00,0
88,700.0,online,55555,400,20:40:00,1
89,30.0,instore,66666,15,09:50:00,0
90,2500.0,online,77777,500,22:15:00,1
91,75.0,instore,88888,20,11:00:00,0
92,4000.0,online,99999,650,19:25:00,1
93,120.0,instore,10101,40,14:45:00,0
94,600.0,online,12345,350,20:10:00,1
95,90.0,instore,54321,60,15:35:00,0
96,1500.0,online,67890,600,23:30:00,1
97,50.0,instore,12345,20,12:10:00,0
98,1000.0,online,11111,300,21:45:00,1
99,40.0,instore,22222,15,10:25:00,0
100,1800.0,online,33333,500,19:50:00,1
